alt_km,lat_deg,lon_deg,lt_h,doy,f107,f107m,kp3h,kp24h,temperature_k,exospheric_temp_k,density_g_cm3,mean_mol_mass_g,d_h_g_cm3,d_he_g_cm3,d_o_g_cm3,d_n2_g_cm3,d_o2_g_cm3,d_n_g_cm3
243.47,-43.009999999999998,-170.92999999999998,13.69,75,100.70999999999999,92.569999999999993,1.8500000000000001,1.48,1000,1000,8.9834829028814789e-13,3.2059640884399414,1.9018628631597284e-13,2.4529496814827689e-13,4.1352476456112119e-13,5.8807282536709003e-15,1.1442109839633879e-14,3.2019492038262015e-14
246.78,-41.740000000000002,-165.81999999999999,14.06,77,101.53999999999999,93.180000000000007,1.9000000000000001,1.52,1000,1000,8.6768840810297343e-13,3.1321766376495361,1.8949909187399722e-13,2.4176895294797385e-13,3.9025548200996574e-13,5.5369561203794798e-15,1.0190633059625753e-14,3.0437295479163184e-14
250.09,-40.469999999999999,-160.70999999999998,14.43,79,102.37,93.789999999999992,1.9500000000000002,1.5600000000000001,1000,1000,8.3873674065065851e-13,3.0616393089294434,1.8881508227590327e-13,2.3829709364618645e-13,3.6831713894069917e-13,5.2955873057957889e-15,9.0770981361768324e-15,2.8934753898424148e-14
253.40000000000001,-39.200000000000003,-155.59999999999999,14.800000000000001,81,103.19999999999999,94.400000000000006,2,1.6000000000000001,1000,1000,8.113826993096096e-13,2.9942140579223633,1.8813423041663668e-13,2.3487852288117672e-13,3.4763218779293448e-13,5.1437579205498764e-15,8.0861754670077078e-15,2.7507777820975562e-14
256.71000000000004,-37.93,-150.48999999999998,15.17,83,104.03,95.009999999999991,2.0500000000000003,1.6400000000000001,1000,1000,7.855257785384373e-13,2.9297730922698975,1.8745652274367031e-13,2.3151229197604373e-13,3.2812795991606081e-13,5.0722471639779321e-15,7.2042625500184226e-15,2.615251324690742e-14
260.01999999999998,-36.659999999999997,-145.38,15.539999999999999,85,104.86,95.620000000000005,2.1000000000000001,1.6799999999999999,1000,1000,7.6107463430410971e-13,2.8682019710540771,1.8678189149436836e-13,2.2819761488421242e-13,3.0973579820750552e-13,5.074746334688806e-15,6.4192743426340262e-15,2.4865265418503799e-14
263.33000000000004,-35.390000000000001,-140.26999999999998,15.91,87,105.69,96.230000000000004,2.1499999999999999,1.72,1000,1000,7.3794572882923681e-13,2.8093924522399902,1.8611040443136662e-13,2.2493363779647196e-13,2.9239140947844022e-13,5.1472714132150873e-15,5.7204793609292801e-15,2.3642571665076322e-14
266.63999999999999,-34.119999999999997,-135.16,16.280000000000001,89,106.52,96.840000000000003,2.2000000000000002,1.76,1000,1000,7.1606278849098426e-13,2.753248929977417,1.8544196668697499e-13,2.2171953400866584e-13,2.7603415972236867e-13,5.2876048673008644e-15,5.0983400139181009e-15,2.2481126864064803e-14
269.94999999999999,-32.850000000000001,-130.04999999999998,16.649999999999999,91,107.34999999999999,97.450000000000003,2.25,1.8,1000,1000,6.9535506909759737e-13,2.6996784210205078,1.8477659181372064e-13,2.18554517474219e-13,2.606069927999638e-13,5.494813266638263e-15,4.5443868191608928e-15,2.137782240455282e-14
273.25999999999999,-31.579999999999998,-124.94,17.02,93,108.18000000000001,98.060000000000002,2.3000000000000003,1.8400000000000001,1000,1000,6.757577353591615e-13,2.6485953330993652,1.8411427981160355e-13,2.1543776148897492e-13,2.4605618649357897e-13,5.7686895116716794e-15,4.0510883832071444e-15,2.0329685200895509e-14
